lake_id,station_id,country,subset,lake_name,lat_wgs84,lon_wgs84,altitude_m,area_ha,depth_mean_m,depth_max_m,cent_lat_wgs84,cent_lon_wgs84
82,82_1,SE,,Fågelsjön,64.34214952907097,14.805599700735499,296.6,263.94,,83.0,64.34198652329894,14.735353510437983
83,83_1,SE,,Fagervikssjön,62.65187806449861,16.411172935175152,201.8,533.63,5.4,24.0,62.662273593995415,16.444375904157724
84,84_1,SE,,Fängsjö,57.29397019321106,12.671675782570766,128.5,27.73,3.7,10.2,57.29808096204385,12.678453553876526
85,85_1,SE,,Fångsjön,63.7876908911078,15.750621543116836,280.5,748.03,,20.0,63.813200876618104,15.707160642896046
86,86_1,SE,,Fättjarn,65.3127351721992,15.28734927172429,561.4,925.7,19.9,46.3,65.3251171326086,15.168394561451594
87,87_1,SE,,Finnebysjön,62.02622543868922,15.470597710407608,249.6,142.82,,,62.03449606791636,15.45764811107847
88,88_1,SE,,Finnforsbodträsket,64.7415240922258,20.147803411396207,262.1,68.13,,,64.73989429678353,20.16347571465139
89,89_1,SE,,Fjällsjön,63.788973905382505,16.425870254247762,207.6,817.45,4.6,20.6,63.818996670849565,16.330502688848245
90,90_1,SE,,Fjosokken,65.52993985791878,16.82527514823442,410.5,1272.97,15.7,62.2,65.60042417575544,16.690832600307427
91,91_1,SE,,Flakaträsket,64.25269232452115,18.503886447295525,382.1,66.03,,,64.25964736241222,18.498216253580214
92,92_1,SE,,Flämsjön,58.45035946145124,13.667224518648004,130.5,109.32,,15.0,58.451046506597685,13.6740694417061
93,93_1,SE,,Flåren,56.95307173274274,14.055540752860173,151.4,3510.73,4.1,15.4,57.029664926021105,14.100308763805074
94,94_1,SE,,Flåsjön,64.13077877976632,15.916865539411718,266.2,10933.31,,88.0,64.11779716585116,15.785994805902131
95,95_1,SE,,Flästasjön,61.428261008806295,16.419198888098173,92.3,287.4,3.2,11.8,61.44724245470723,16.408459303462735
96,96_1,SE,,Flaten,57.34078135719083,13.905906934199855,162.5,348.92,3.1,9.0,57.35259984843723,13.912089809236543
97,97_1,SE,,Flötningssjön,61.8572820650748,12.225928741745621,662.2,223.51,,,61.86134315166946,12.195949093376539
98,98_1,SE,,Forshultsjön,57.25112076630841,16.311164519948054,43.3,33.75,2.8,6.8,57.2534434790431,16.31063147955726
99,99_1,SE,,Frösjön,59.04754325086808,17.321196655843416,9.8,344.13,2.8,5.8,59.062052175280776,17.317519854896915
100,100_1,SE,,"Fryken, Nedre",59.54294756366912,13.298049649804124,62.3,1249.23,,22.0,59.56393445399,13.32403084860188
101,101_1,SE,,Funbosjön,59.859571485715925,17.85954660173318,5.9,196.58,1.7,5.5,59.88045271863848,17.864755230495774
102,102_1,SE,,Funnäsdalssjön,62.51936482537123,12.594052537163437,583.3,213.96,,,62.532603107127265,12.556626938004216
103,103_1,SE,,Furen,56.96603515802192,14.597027994937749,151.5,352.95,,,56.97368090275096,14.624794173735678
104,104_1,SE,,Gafselsjön,63.77836204894927,17.599184519168887,299.5,107.7,1.8,7.9,63.794018763583914,17.563331050357558
105,105_1,SE,,Gammhemssjön (Gammalhems,64.58908681119995,18.312165921817655,281.3,57.49,,,64.60089016624579,18.31142429132201
106,106_1,SE,,Gänsen (Gensen),60.572674990049194,14.41099266033557,233.0,321.09,7.4,20.2,60.584955939875776,14.406723775847297
107,107_1,SE,,Gärdefjärden,64.37324429057112,21.3187642265892,2.3,442.34,,,64.377985526518,21.34467488134375
39,39_2,SE,,Gardiken,65.47613213877378,15.856908205109292,395.0,5624.11,18.3,61.5,65.49990449954156,15.540293591983563
108,108_1,SE,,Gärdsjön,64.28479229383701,15.21073064307627,287.1,1301.17,,55.5,64.31888809946943,15.117613372802962
109,109_1,SE,,Gastsjön,62.96115542401738,15.901980712054547,322.4,143.27,2.6,9.4,62.96154864715859,15.877962240673218
110,110_1,SE,,"Gautsträsk, Övre",65.93102285860887,16.301496493903514,401.1,548.03,,44.9,65.94865883430134,16.277197898633236
111,111_1,SE,,Gåxsjön,63.67294363915119,15.101180144626538,310.4,1528.83,9.7,26.0,63.697661553127446,15.040593444602484
112,112_1,SE,,Gåxsjön,63.93741469487356,15.846162009555561,287.4,378.07,,,63.92386411692606,15.866275930818423
113,113_1,SE,,Gesunden (Gesundsjön),63.14602692109481,16.06978581303919,204.6,2959.54,,55.3,63.151368135660306,15.912678574613443
114,114_1,SE,,Gevsjön,63.39644061423496,12.634257631487246,499.2,1116.01,11.9,31.6,63.37804833494636,12.650478719534622
115,115_1,SE,,Giertsjaure,65.83015855848059,17.189225135687174,468.0,686.39,6.1,26.0,65.86758647379898,17.145488776240043
116,116_1,SE,,Gikasjön,65.0987606886468,15.097479593552226,556.3,291.24,6.4,19.5,65.11999711101724,15.05826459419381
117,117_1,SE,,Giltjaure,65.5317723005979,17.004234091894947,430.6,501.59,,,65.54775380200375,16.983682082928567
118,118_1,SE,,Gimodamm,60.17831565791234,18.171421131004454,17.7,315.3,1.7,2.9,60.19382465208845,18.155473308446012
119,119_1,SE,,Gittunjaure,66.28109552730514,18.54580772515588,406.4,164.91,,,66.28884917571459,18.5359832344704
120,120_1,SE,,Glan,58.594125606368955,16.08325057992937,22.0,7290.48,,18.0,58.62240771421874,15.959653440600759
121,121_1,SE,,"Glommersträsk, Yttre",65.25408733793913,19.64200768993314,352.4,26.96,,,65.25365715892704,19.648177748531776
122,122_1,SE,,Gnötteln,57.50218365357673,15.885276675392445,102.2,174.27,1.7,4.0,57.507919611215414,15.893453636808124
123,123_1,SE,,Godebrunnssjön,58.057403791812995,14.572568796952062,271.2,10.35,,,58.05661605811715,14.570344035026354
124,124_1,SE,,Gopen,60.71413618095029,15.369520184881631,166.5,250.88,6.3,30.0,60.71820782570963,15.356962417657842
