station_id,year,beta0,beta1,beta2,latitude,altitude,log_area,country
1_1,1951,301.66636468988645,4.8367816579777125,10.277751635712821,1.14988974939966,-0.3411222989203582,NA,SE
1_1,1952,301.6672389927138,4.8957180462460865,10.025945733869007,1.14988974939966,-0.3411222989203582,NA,SE
1_1,1953,301.2880580804823,5.122323266665274,9.718066228958703,1.14988974939966,-0.3411222989203582,NA,SE
1_1,1954,301.8482137300393,4.7442915049771734,10.77863261687645,1.14988974939966,-0.3411222989203582,NA,SE
1_1,1956,301.25681238092756,5.096543650371211,9.592229404399147,1.14988974939966,-0.3411222989203582,NA,SE
3_1,1955,324.3174596869388,5.720895781205165,8.295217638520684,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1956,324.1683028547756,5.6982549023588165,8.262633344958719,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1957,324.2934207132187,5.757564005913496,8.353900909940725,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1958,324.4345174633005,5.69164861571438,8.650949639328623,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1959,324.84626816087354,5.530214412913759,9.114015925084018,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1960,324.34969381050536,5.626032521014782,8.515334074118764,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1961,324.3134344651929,5.769739624929218,8.565009281471278,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1962,324.66851870746785,5.474050654410569,8.965813778557669,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1963,324.6790905360309,5.624587235475042,8.733501671842815,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1964,324.50647451260045,5.593733027793643,8.560615741181461,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1965,324.43963211277423,5.609903538637723,8.475060497083877,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1966,324.45825231966404,5.6250490825440504,8.597604264940896,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1967,324.558032110295,5.741027339102679,8.621956762627157,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1968,324.5438629772682,5.556197901551293,8.730187476155043,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1969,324.15702008931004,5.733944479976347,8.507688381529812,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1970,324.35446636250236,5.702199034208259,8.629460620381275,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1971,324.27945629452313,5.680838187477905,8.6629159818117,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1973,324.39516221622023,5.625324455133597,8.758627326805955,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1974,324.0698166988855,5.694853142562433,8.681709912892094,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1975,324.49046130789145,5.518945320279074,8.733255323716635,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1976,324.6003127862328,5.66054304718752,8.804263510745713,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1977,324.2943109175928,5.614054869819375,8.710360481604368,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1978,324.2497282562373,5.645944402971281,8.554561535504698,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1979,324.2585740558918,5.667483333157278,8.909320849042235,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1980,324.54653043098875,5.564688196309064,8.844510663452642,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1981,324.3037664963108,5.672143428988081,8.881228940254408,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1982,324.2419501897336,5.504023484489329,8.584387755165261,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1983,324.53223687403323,5.668392265400988,8.756812960296221,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1984,324.4178999023135,5.555128691150618,8.722552173315016,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1985,324.53328458051504,5.502610168530289,8.72377875323793,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1986,324.4845889091288,5.514404749829669,8.742969086412023,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1987,324.409528967647,5.537140136902442,8.583121136585005,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1988,324.55168262613176,5.591407342411803,8.88087868287316,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1989,324.3019010404027,5.589959642421393,8.947932417285417,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1990,324.63459552831847,5.627462582888026,8.797259139250734,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1991,324.4818505821541,5.553687088218346,8.893546272056442,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
3_1,1992,324.47009160332937,5.580412155164774,8.51764894051993,0.9876675966344557,0.8892622169813248,0.34809027111204127,SE
4_1,1950,315.72228799725286,3.851424555169225,9.322180069008317,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1952,315.24258152781704,4.176369472386964,8.477120780558652,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1953,314.88821093095777,4.355343771798671,7.785142444787914,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1954,315.432431092923,4.101656584397612,8.632754083078492,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1955,315.2609411170063,4.266862255430078,8.353836476644576,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1956,315.36274416066647,4.122521231237474,8.55099231090443,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1957,315.08108226151126,4.256835035209555,8.232117531938066,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1958,315.4916828651061,4.01166193996803,8.7432213355206585,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1959,315.6994617590747,3.969438175455019,8.917653589565083,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1960,315.253878151407,4.150499390542601,8.648141568252345,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1961,315.04092436183896,4.164267591144539,8.364518282912215,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1962,315.75300413448053,3.916063871644351,8.849818976503471,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1963,315.43552258757404,4.10512883201374,8.492276851228917,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1964,315.3029026378257,4.129565229990873,8.434486137400276,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1965,315.42040643414805,4.009360945729934,8.656190912157967,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1966,315.28714702792666,4.058329667317003,8.511546674336085,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1968,315.7572132138814,3.91438062873818,8.597378879100429,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1971,315.5213069266643,4.1115544021947725,8.541481747307088,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1972,315.25529131604605,4.151750747155716,8.426956176749924,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
4_1,1973,315.2865403823539,4.109098292048682,8.581858821099553,0.877025519394737,0.9831886604137182,-1.775214094714033,SE
